Time (09/18/2021),Ambient (*F),Object (*F),Ambient (*C),Object (*C)
18:04:53,74.64,90.30,23.69,32.39
18:04:53,74.68,90.48,23.71,32.49
18:04:54,74.71,90.70,23.73,32.61
18:04:54,74.71,90.70,23.73,32.61
18:04:55,74.68,90.66,23.71,32.59
18:04:55,74.71,90.59,23.73,32.55
18:04:56,74.68,90.59,23.71,32.55
18:04:57,74.71,90.48,23.73,32.49
18:04:57,74.79,90.48,23.77,32.49
18:04:58,74.79,90.41,23.77,32.45
18:04:58,74.79,89.98,23.77,32.21
18:04:59,74.79,90.19,23.77,32.33
18:04:59,74.82,90.30,23.79,32.39
18:05:00,74.82,90.45,23.79,32.47
18:05:00,74.79,87.53,23.77,30.85
18:05:01,74.86,78.35,23.81,25.75
18:05:01,74.97,73.45,23.87,23.03
18:05:02,74.97,73.45,23.87,23.03
18:05:02,74.97,73.60,23.87,23.11
18:05:03,74.97,73.71,23.87,23.17
18:05:03,74.93,74.14,23.85,23.41
18:05:04,75.00,74.53,23.89,23.63
18:05:04,74.93,73.92,23.85,23.29
18:05:05,74.97,73.49,23.87,23.05
18:05:05,75.00,73.92,23.89,23.29
18:05:06,75.00,73.81,23.89,23.23
18:05:06,74.97,73.45,23.87,23.03
18:05:07,75.00,73.09,23.89,22.83
18:05:07,74.97,72.63,23.87,22.57
18:05:08,75.07,72.52,23.93,22.51
18:05:08,75.04,73.27,23.91,22.93
18:05:09,75.04,72.99,23.91,22.77
18:05:09,75.04,72.12,23.91,22.29
18:05:10,75.04,72.37,23.91,22.43
18:05:10,75.04,72.52,23.91,22.51
18:05:11,75.11,72.77,23.95,22.65
18:05:11,75.07,72.37,23.93,22.43
18:05:12,75.04,72.34,23.91,22.41
18:05:12,75.04,72.01,23.91,22.23
18:05:13,75.11,71.62,23.95,22.01
18:05:13,75.15,71.91,23.97,22.17
18:05:14,75.07,71.69,23.93,22.05
18:05:14,75.11,71.22,23.95,21.79
18:05:15,75.18,72.63,23.99,22.57
18:05:15,75.07,71.55,23.93,21.97
18:05:16,75.07,71.69,23.93,22.05
18:05:16,75.15,71.62,23.97,22.01
18:05:17,75.11,70.11,23.95,21.17
18:05:17,75.11,69.10,23.95,20.61
18:05:18,75.15,68.99,23.97,20.55
18:05:18,75.11,66.25,23.95,19.03
18:05:19,75.07,55.67,23.93,13.15
18:05:19,75.07,53.26,23.93,11.81
18:05:20,75.15,42.06,23.97,5.59
18:05:20,75.11,36.59,23.95,2.55
18:05:21,75.11,24.49,23.95,-4.17
18:05:21,75.04,15.39,23.91,-9.23
18:05:22,74.97,14.13,23.87,-9.93
18:05:22,74.97,16.61,23.87,-8.37
18:05:23,74.93,14.92,23.85,-9.49
18:05:23,74.79,14.85,23.77,-9.53
18:05:24,74.71,14.92,23.73,-9.49
18:05:24,74.68,14.59,23.71,-9.67
18:05:25,74.68,19.60,23.71,-6.89
18:05:25,74.64,20.57,23.69,-6.35
18:05:26,74.57,21.76,23.65,-5.69
18:05:26,74.46,21.18,23.59,-6.01
18:05:27,74.43,20.28,23.57,-6.51
18:05:27,74.46,18.91,23.59,-7.27
18:05:28,74.43,19.89,23.57,-6.73
18:05:28,74.39,22.23,23.55,-5.43
18:05:29,74.32,25.03,23.51,-3.87
18:05:29,74.35,23.41,23.53,-4.77
18:05:30,74.21,22.01,23.45,-5.55
18:05:30,74.17,26.04,23.43,-3.31
18:05:31,74.21,23.34,23.45,-4.81
18:05:31,74.07,23.13,23.37,-4.93
18:05:32,74.14,37.60,23.41,3.11
18:05:32,74.07,36.70,23.37,2.61
18:05:33,74.03,33.71,23.35,0.95
18:05:33,73.99,43.00,23.33,6.11
18:05:34,73.99,66.54,23.33,19.19
18:05:34,73.96,73.45,23.31,23.03
18:05:35,73.92,78.75,23.29,25.97
18:05:35,73.92,77.88,23.29,25.49
18:05:36,73.96,72.52,23.31,22.53
18:05:36,73.92,71.40,23.29,21.89
18:05:37,73.99,72.01,23.33,22.23
18:05:37,73.92,72.84,23.29,22.69
18:05:38,73.92,75.47,23.29,24.15
18:05:38,73.92,74.03,23.29,23.35
18:05:39,73.92,74.32,23.29,23.51
18:05:39,73.92,75.36,23.29,24.09
18:05:40,73.96,75.58,23.31,24.21
18:05:40,73.96,75.25,23.31,24.03
18:05:41,73.99,73.60,23.33,23.11
18:05:41,73.96,73.38,23.31,22.99
18:05:42,73.92,73.17,23.29,22.87
18:05:42,73.99,73.09,23.33,22.83
18:05:43,73.96,74.64,23.31,23.69
18:05:43,73.99,72.52,23.33,22.51
18:05:44,73.99,72.95,23.33,22.75
18:05:44,73.99,73.09,23.33,22.83
18:05:45,73.96,73.31,23.31,22.95
18:05:46,73.99,73.56,23.33,23.09
18:05:46,73.92,73.49,23.29,23.05
18:05:47,73.99,73.20,23.33,22.89
18:05:47,73.99,73.17,23.33,22.87
18:05:48,74.03,73.27,23.35,22.93
18:05:48,73.99,73.31,23.33,22.95
18:05:49,74.07,73.09,23.37,22.83
18:05:49,74.03,73.06,23.35,22.81
18:05:50,73.99,73.06,23.33,22.81
18:05:50,73.99,73.06,23.33,22.81
18:05:51,74.07,72.95,23.37,22.75
18:05:51,74.03,72.99,23.35,22.77
18:05:52,74.17,72.95,23.43,22.75
18:05:52,74.17,73.06,23.43,22.81
