Time (09/18/2021),Ambient (*F),Object (*F),Ambient (*C),Object (*C)
15:30:53,74.53,73.17,23.63,22.87
15:30:53,74.57,73.81,23.65,23.23
15:30:54,74.53,64.96,23.63,18.31
15:30:54,74.61,53.08,23.67,11.71
15:30:55,74.57,47.97,23.65,8.87
15:30:55,74.53,48.65,23.63,9.25
15:30:56,74.43,50.31,23.57,10.17
15:30:56,74.53,49.59,23.63,9.77
15:30:57,74.46,49.08,23.59,9.49
15:30:57,74.53,49.33,23.63,9.63
15:30:58,74.46,48.40,23.59,9.11
15:30:58,74.53,49.33,23.63,9.63
15:30:59,74.43,48.65,23.57,9.25
15:30:59,74.46,49.55,23.59,9.75
15:31:00,74.43,47.97,23.57,8.87
15:31:00,74.46,48.40,23.59,9.11
15:31:01,74.46,57.36,23.59,14.09
15:31:01,74.46,63.16,23.59,17.31
15:31:02,74.46,63.16,23.59,17.31
15:31:02,74.46,62.33,23.59,16.85
15:31:03,74.53,57.36,23.63,14.09
15:31:03,74.46,54.73,23.59,12.63
15:31:04,74.53,53.08,23.63,11.71
15:31:04,74.46,55.24,23.59,12.91
15:31:05,74.43,62.91,23.57,17.17
15:31:05,74.43,56.28,23.57,13.49
15:31:06,74.46,53.01,23.59,11.67
15:31:06,74.39,50.74,23.55,10.41
15:31:07,74.35,48.83,23.53,9.35
15:31:07,74.46,49.48,23.59,9.71
15:31:08,74.39,49.91,23.55,9.95
15:31:08,74.39,52.79,23.55,11.55
15:31:09,74.43,64.85,23.57,18.25
15:31:09,74.39,75.18,23.55,23.99
15:31:10,74.35,74.46,23.53,23.59
15:31:10,74.43,74.68,23.57,23.71
15:31:11,74.39,73.60,23.55,23.11
15:31:11,74.39,73.67,23.55,23.15
15:31:12,74.35,73.38,23.53,22.99
15:31:12,74.46,73.27,23.59,22.99
15:31:13,74.43,73.20,23.57,22.89
15:31:14,74.39,73.20,23.55,22.89
15:31:14,74.35,73.20,23.53,22.89
15:31:15,74.39,73.17,23.55,22.87
15:31:15,74.39,72.99,23.55,22.77
15:31:16,74.43,72.99,23.57,22.77
15:31:16,74.53,72.99,23.63,22.77
15:31:17,74.39,72.95,23.55,22.75
15:31:17,74.43,73.06,23.57,22.81
15:31:18,74.39,72.99,23.55,22.77
15:31:18,74.39,72.88,23.55,22.71
15:31:19,74.46,73.09,23.59,22.83
15:31:19,74.53,73.27,23.63,22.93
15:31:20,74.43,73.06,23.57,22.81
15:31:20,74.46,73.45,23.59,23.03
15:31:21,74.53,73.20,23.63,22.89
15:31:21,74.43,73.06,23.57,22.81
15:31:22,74.53,72.84,23.63,22.69
15:31:22,74.53,72.95,23.63,22.75
15:31:23,74.43,73.20,23.57,22.89
15:31:23,74.43,73.56,23.57,23.09
15:31:24,74.53,74.25,23.63,23.47
15:31:24,74.53,74.57,23.63,23.65
15:31:25,74.57,75.15,23.65,23.97
15:31:25,74.53,74.86,23.63,23.81
15:31:26,74.61,74.57,23.67,23.65
15:31:26,74.53,74.57,23.63,23.65
15:31:27,74.57,74.57,23.65,23.65
15:31:27,74.57,74.82,23.65,23.79
15:31:28,74.61,74.64,23.67,23.69
15:31:28,74.61,74.32,23.67,23.51
15:31:29,74.53,74.25,23.63,23.47
15:31:29,74.57,74.32,23.65,23.51
15:31:30,74.57,74.32,23.65,23.51
15:31:30,74.61,74.21,23.67,23.45
15:31:31,74.61,74.14,23.67,23.41
15:31:31,74.61,74.14,23.67,23.41
15:31:32,74.61,74.25,23.67,23.47
15:31:32,74.71,74.43,23.73,23.57
15:31:33,74.64,74.14,23.69,23.41
15:31:33,74.61,74.32,23.67,23.51
15:31:34,74.64,74.21,23.69,23.45
15:31:34,74.64,74.21,23.69,23.45
15:31:35,74.68,74.25,23.71,23.47
15:31:35,74.57,74.03,23.65,23.35
15:31:36,74.64,73.99,23.69,23.33
15:31:36,74.64,73.89,23.69,23.27
15:31:37,74.71,73.89,23.73,23.27
