58|73.81;74.64;23.23;23.69;
594|73.92;74.57;23.29;23.65;
1124|73.89;74.57;23.27;23.65;
1653|73.85;74.86;23.25;23.81;
2183|73.92;74.21;23.29;23.45;
2711|73.96;74.32;23.31;23.51;
3240|73.92;74.75;23.29;23.75;
3770|73.96;74.75;23.31;23.75;
4299|73.96;74.53;23.31;23.63;
4829|73.99;74.64;23.33;23.69;
5357|73.96;74.46;23.31;23.59;
5886|73.96;74.53;23.31;23.63;
6416|74.03;74.53;23.35;23.63;
6945|74.07;74.46;23.37;23.59;
7475|74.03;74.35;23.35;23.53;
8003|74.03;74.46;23.35;23.59;
8532|73.96;74.35;23.31;23.53;
9065|74.07;74.57;23.37;23.65;
9593|74.17;74.57;23.43;23.65;
10122|74.07;74.43;23.37;23.57;
